3U SNW2X,650,F
J L Espinoza,14.8,1
S   Morales,12.3,2
A   Garcia,16.9,3
R A Dominguez,1.45,4
R   Maragh,2.55,5
E S Prado,2.15,6
3U   ,700.0,F
R A Dominguez,0.95,1
C H Velasquez,0.95,1A
J   Lezcano,14.3,2
E   Coa,10.2,3
J   Castellano,4.8,4
R   Maragh,14.0,5
M J Luzzi,3.1,6
J F Chavez,18.0,7
3U   ,700.0,F
E S Prado,2.1,1
R A Dominguez,3.85,2
C H Velasquez,5.7,3
E   Coa,3.95,4
J   Lezcano,2.85,5
R R Rodriguez,15.4,6
3U   ,650.0,F
E   Coa,9.3,1A
M   Studart,79.75,2
R R Rodriguez,66.75,3
A J Casey(7),49.25,4
R A Dominguez,0.5,5
R   Maragh,8.7,6
J E Bermudez,29.0,7
J   Lezcano,3.9,8
C H Velasquez,16.9,9
3U   ,1000.0,F
R   Maragh,2.95,1
R A Dominguez,2.95,1A
J   Samyn,29.0,2
C H Velasquez,50.5,3
A   Garcia,2.65,4
J   Lezcano,12.3,5
J   Castellano,11.0,6
E   Coa,3.65,7
E S Prado,7.6,8
S   Morales,6.9,9
3U  NW2X,700.0,F
R A Dominguez,1.75,1
C H Velasquez,1.75,1A
J   Lezcano,6.6,3
J F Chavez,35.75,4
E S Prado,3.1,5
E   Coa,3.7,6
J   Samyn,11.0,7
A   Garcia,6.3,8
3U   ,650.0,F
J F Chavez,34.5,1
R   Maragh,6.1,2
E   Coa,11.5,3
M J Luzzi,16.0,4
R D Fuentes,26.0,5
A   Garcia,1.2,6
C H Velasquez,35.5,8
J   Lezcano,11.1,9
E S Prado,2.45,11
3UF NW2L,600.0,F
J L Espinoza,2.55,1
A J Casey(7),55.25,3
S   Morales,17.8,4
M J Luzzi,8.3,5
C H Velasquez,2.15,6
R   Maragh,2.6,7
R A Dominguez,22.9,9
J   Samyn,9.2,11
3UF  ,1100.0,F
E   Coa,2.7,1
J   Lezcano,20.9,2
J   Castellano,0.8,3
R A Dominguez,4.1,5
E S Prado,16.6,7
A   Garcia,12.1,8
3U S ,700.0,F
R A Dominguez,4.4,1
A   Garcia,11.7,3
J   Lezcano,18.1,4
J   Castellano,4.3,5
J   Samyn,16.6,6
E S Prado,13.8,7
R   Maragh,7.7,8
C H Velasquez,1.7,10
E   Coa,10.9,11
